Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2020]=44212.9
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2021]=42752.21
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2022]=41291.52
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2023]=39830.83
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2024]=38370.14
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2025]=36909.45
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2026]=35448.76
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2027]=33988.07
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2028]=32527.38
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2029]=31066.69
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2030]=29606
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2031]=28634.46
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2032]=27662.92
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2033]=26691.38
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2034]=25719.84
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2035]=24748.3
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2036]=23776.76
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2037]=22805.22
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2038]=21833.68
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2039]=20862.14
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2040]=19890.6
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2041]=19458.99
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2042]=19027.38
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2043]=18595.77
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2044]=18164.16
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2045]=17732.55
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2046]=17300.94
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2047]=16869.33
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2048]=16437.72
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2049]=16006.11
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2050]=15574.5
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2051]=15387.03
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2052]=15199.56
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2053]=15012.09
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2054]=14824.62
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2055]=14637.15
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2056]=14449.68
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[2057]=14262.21
