Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1902]=24.369316
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1903]=24.402117
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1904]=24.434918
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1905]=24.467719
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1906]=24.50052
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1907]=24.533321
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1908]=24.566122
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1909]=24.598923
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1910]=24.631724
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1911]=24.427454
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1912]=24.223184
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1913]=24.018914
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1914]=23.814645
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1915]=23.610375
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1916]=23.406105
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1917]=23.201836
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1918]=22.997566
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1919]=22.793296
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1920]=22.589027
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1921]=22.605247
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1922]=22.621467
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1923]=22.637688
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1924]=22.653908
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1925]=22.670128
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1926]=22.686349
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1927]=22.702569
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1928]=22.718789
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1929]=22.73501
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1930]=22.75123
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1931]=22.748587
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1932]=22.745943
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1933]=22.7433
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1934]=22.740656
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1935]=22.738013
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1936]=22.735369
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1937]=22.732726
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1938]=22.730082
