Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2007]=38.97
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2008]=39.054433
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2009]=39.138867
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2010]=39.2233
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2011]=38.96192
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2012]=38.70054
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2013]=38.43916
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2014]=38.17778
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2015]=37.9164
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2016]=37.65502
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2017]=37.39364
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2018]=37.13226
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2019]=36.87088
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2020]=36.6095
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2021]=36.10504
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2022]=35.60058
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2023]=35.09612
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2024]=34.59166
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2025]=34.0872
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2026]=33.58274
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2027]=33.07828
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2028]=32.57382
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2029]=32.06936
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2030]=31.5649
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2031]=31.40904
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2032]=31.25318
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2033]=31.09732
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2034]=30.94146
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2035]=30.7856
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2036]=30.62974
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2037]=30.47388
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2038]=30.31802
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2039]=30.16216
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2040]=30.0063
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2041]=29.89599
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2042]=29.78568
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2043]=29.67537
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2044]=29.56506
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2045]=29.45475
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2046]=29.34444
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2047]=29.23413
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2048]=29.12382
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2049]=29.01351
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2050]=28.9032
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2051]=28.73251
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2052]=28.56182
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2053]=28.39113
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2054]=28.22044
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2055]=28.04975
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[2056]=27.87906
