Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1753 T=-0.380593 degC Dtdt=-0.000113239 DHdt_no_ice=-0.00073056 cm/yr slr_no_ice=-0.00419758 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1754 T=-0.380714 degC dTdt=-0.000126941 dHdt=0.0170219 cm/yr slr=0.151021 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1754 T=-0.380714 degC Dtdt=-0.000126941 DHdt_no_ice=-0.000774512 cm/yr slr_no_ice=-0.00497209 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1755 T=-0.380847 degC dTdt=-0.000136915 dHdt=0.0169965 cm/yr slr=0.168017 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1755 T=-0.380847 degC Dtdt=-0.000136915 DHdt_no_ice=-0.000810058 cm/yr slr_no_ice=-0.00578215 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1756 T=-0.380988 degC dTdt=-0.000144438 dHdt=0.0169543 cm/yr slr=0.184971 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1756 T=-0.380988 degC Dtdt=-0.000144438 DHdt_no_ice=-0.000840161 cm/yr slr_no_ice=-0.00662231 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1757 T=-0.381136 degC dTdt=-0.000150306 dHdt=0.0169003 cm/yr slr=0.201872 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1757 T=-0.381136 degC Dtdt=-0.000150306 DHdt_no_ice=-0.000866648 cm/yr slr_no_ice=-0.00748895 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1758 T=-0.381289 degC dTdt=-0.000155046 dHdt=0.0168379 cm/yr slr=0.21871 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1758 T=-0.381289 degC Dtdt=-0.000155046 DHdt_no_ice=-0.000890728 cm/yr slr_no_ice=-0.00837968 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1759 T=-0.381446 degC dTdt=-0.000159018 dHdt=0.0167694 cm/yr slr=0.235479 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1759 T=-0.381446 degC Dtdt=-0.000159018 DHdt_no_ice=-0.000913234 cm/yr slr_no_ice=-0.00929292 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1760 T=-0.381607 degC dTdt=-0.000162473 dHdt=0.0166962 cm/yr slr=0.252175 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1760 T=-0.381607 degC Dtdt=-0.000162473 DHdt_no_ice=-0.00093474 cm/yr slr_no_ice=-0.0102277 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1761 T=-0.381771 degC dTdt=-0.000165581 dHdt=0.0166196 cm/yr slr=0.268795 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1761 T=-0.381771 degC Dtdt=-0.000165581 DHdt_no_ice=-0.000955637 cm/yr slr_no_ice=-0.0111833 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1762 T=-0.381938 degC dTdt=-0.000168459 dHdt=0.0165401 cm/yr slr=0.285335 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1762 T=-0.381938 degC Dtdt=-0.000168459 DHdt_no_ice=-0.000976199 cm/yr slr_no_ice=-0.0121595 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1763 T=-0.382108 degC dTdt=-0.000171196 dHdt=0.0164584 cm/yr slr=0.301793 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1763 T=-0.382108 degC Dtdt=-0.000171196 DHdt_no_ice=-0.000996628 cm/yr slr_no_ice=-0.0131561 cm
