Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2014]=8.5266
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2015]=8.5025
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2016]=8.4784
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2017]=8.4543
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2018]=8.4302
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2019]=8.4061
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2020]=8.382
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2021]=8.23806
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2022]=8.09412
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2023]=7.95018
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2024]=7.80624
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2025]=7.6623
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2026]=7.51836
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2027]=7.37442
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2028]=7.23048
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2029]=7.08654
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2030]=6.9426
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2031]=6.81693
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2032]=6.69126
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2033]=6.56559
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2034]=6.43992
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2035]=6.31425
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2036]=6.18858
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2037]=6.06291
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2038]=5.93724
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2039]=5.81157
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2040]=5.6859
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2041]=5.61136
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2042]=5.53682
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2043]=5.46228
